void_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count,category_name,engagement_ratio
KgpnfT5bgLY,Jana Nayagan – Thalapathy Kacheri Lyric Video| Thalapathy Vijay| H Vinoth| Anirudh| Pooja Hegde| KVN,T-Series,10,2025-11-08 12:33:03+00:00,12288855,1128269,67428,Music,0.097299301
a6ExNjFOhv0,MASK - Trailer | Kavin | Andrea J | GV Prakash Kumar | Ruhani | Vikarnan A,T-Series Tamil,10,2025-11-09 08:37:00+00:00,4748219,54387,1003,Music,0.011665427
5H9adnTlq8U,[HINDI] LCQ — CEGC 2025 BGMI Day 2 #cegc #BattleGroundsMobileIndia,Skyesports,20,2025-11-09 15:19:14+00:00,1730431,55264,59,Gaming,0.031970648
vVDp1ulBKIk,Chikiri Chikiri Video Song | Peddi | Ram Charan | Janhvi | Buchi Babu Sana | AR Rahman|Mohit Chauhan,T-Series Telugu,10,2025-11-07 05:37:04+00:00,27745072,777406,25314,Music,0.028931985
jsauQx_Fwrg,"The Family Man S3 - Official Trailer | Raj & DK | Manoj Bajpayee, Jaideep Ahlawat | Prime Video IN",Prime Video India,24,2025-11-07 07:35:06+00:00,13205416,269296,8398,Entertainment,0.021028796
ha5rXJLWJmk,Live Horror Game Granny #shortslive #granny #shorts #shortsfeed,ANZU SENPAI,20,2025-11-09 09:23:38+00:00,1199708,0,38,Gaming,3.17E-05
xjPoAxdhHQ4,#video | Bengal Me Bangla | #Shilpi Raj | बंगाल में बंगला | Ft. Parul Yadav | New Bhojpuri Song 2025,GMJ - Global Music Junction - Bhojpuri,10,2025-11-09 01:01:27+00:00,549588,1419,47,Music,0.002667453
AuYmKbtnmEA,Michael | Official Trailer,Universal Pictures,24,2025-11-07 17:25:48+00:00,2004855,83553,3049,Entertainment,0.043196141
muuaUeV93Oc,FAKE GYANGAMING IS BACK LIVESTREAM,Gyan Gamingㅤ,20,2025-11-09 22:05:30+00:00,1021490,42355,52,Gaming,0.041514846
8e2TxufX8u4,"Pritam, KK - Mat Aazma Re",Indie India,22,2025-11-08 06:30:07+00:00,1004130,2108,17,People & Blogs,0.00211626
2W7z4SB8Vy8,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,24,2025-11-09 03:06:13+00:00,1960259,131877,22241,Entertainment,0.078621243
9uU83thO7Mw,NZ vs WI | 3rd T20I | Highlights | West Indies Tour Of New Zealand 2025,Sony Sports Network,17,2025-11-09 05:07:18+00:00,706459,12390,307,Sports,0.017972734
UdAHSDxmfDs,"Dhivara [8K] Full Video Song | Baahubali (Telugu) | Prabhas,Tamannaah | M.M. Keeravaani|SS Rajamouli",Lahari Music,10,2025-11-08 04:45:27+00:00,1087802,9024,123,Music,0.008408699
r4HusFmN4uw,120 Bahadur | Official Trailer | Farhan Akhtar | Raashii Khanna | 21st November,Excel Movies,1,2025-11-06 08:36:03+00:00,18886288,134335,8709,Film & Animation,0.007573961
