void_id,title,channel_title,category_name,published_at,view_count,like_count,comment_count,engagement_ratio
csbXpuIMAJc,The Family Man Season 3 Trailer REVIEW | Deeksha Sharma,Filmi Indian,Entertainment,2025-11-07 16:58:35,252473,7990,184,0.0323757
csbXpuIMAJc,The Family Man Season 3 Trailer REVIEW | Deeksha Sharma,Filmi Indian,Entertainment,2025-11-07 16:58:35,252473,7990,184,0.0323757
KgpnfT5bgLY,Jana Nayagan – Thalapathy Kacheri Lyric Video| Thalapathy Vijay| H Vinoth| Anirudh| Pooja Hegde| KVN,T-Series,Music,2025-11-08 18:03:03,12288855,1128269,67428,0.0972993
a6ExNjFOhv0,MASK - Trailer | Kavin | Andrea J | GV Prakash Kumar | Ruhani | Vikarnan A,T-Series Tamil,Music,2025-11-09 14:07:00,4748219,54387,1003,0.0116654
5H9adnTlq8U,[HINDI] LCQ — CEGC 2025 BGMI Day 2 #cegc #BattleGroundsMobileIndia,Skyesports,Gaming,2025-11-09 20:49:14,1730431,55264,59,0.0319706
vVDp1ulBKIk,Chikiri Chikiri Video Song | Peddi | Ram Charan | Janhvi | Buchi Babu Sana | AR Rahman|Mohit Chauhan,T-Series Telugu,Music,2025-11-07 11:07:04,27745072,777406,25314,0.028932
jsauQx_Fwrg,"The Family Man S3 - Official Trailer | Raj & DK | Manoj Bajpayee, Jaideep Ahlawat | Prime Video IN",Prime Video India,Entertainment,2025-11-07 13:05:06,13205416,269296,8398,0.0210288
ha5rXJLWJmk,Live Horror Game Granny #shortslive #granny #shorts #shortsfeed,ANZU SENPAI,Gaming,2025-11-09 14:53:38,1199708,0,38,3.17e-05
xjPoAxdhHQ4,#video | Bengal Me Bangla | #Shilpi Raj | बंगाल में बंगला | Ft. Parul Yadav | New Bhojpuri Song 2025,GMJ - Global Music Junction - Bhojpuri,Music,2025-11-09 06:31:27,549588,1419,47,0.00266745
AuYmKbtnmEA,Michael | Official Trailer,Universal Pictures,Entertainment,2025-11-07 22:55:48,2004855,83553,3049,0.0431961
muuaUeV93Oc,FAKE GYANGAMING IS BACK LIVESTREAM,Gyan Gamingㅤ,Gaming,2025-11-10 03:35:30,1021490,42355,52,0.0415148
8e2TxufX8u4,"Pritam, KK - Mat Aazma Re",Indie India,People & Blogs,2025-11-08 12:00:07,1004130,2108,17,0.00211626
2W7z4SB8Vy8,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,Entertainment,2025-11-09 08:36:13,1960259,131877,22241,0.0786212
9uU83thO7Mw,NZ vs WI | 3rd T20I | Highlights | West Indies Tour Of New Zealand 2025,Sony Sports Network,Sports,2025-11-09 10:37:18,706459,12390,307,0.0179727
UdAHSDxmfDs,"Dhivara [8K] Full Video Song | Baahubali (Telugu) | Prabhas,Tamannaah | M.M. Keeravaani|SS Rajamouli",Lahari Music,Music,2025-11-08 10:15:27,1087802,9024,123,0.0084087
r4HusFmN4uw,120 Bahadur | Official Trailer | Farhan Akhtar | Raashii Khanna | 21st November,Excel Movies,Film & Animation,2025-11-06 14:06:03,18886288,134335,8709,0.00757396
uskm6FYzG8M,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Flygame Animals,Film & Animation,2025-11-09 10:46:22,1230379,8046,207,0.00670769
hm-2eWmlJYg,#Video | #Pramod Premi Yadav | बेबी लागेलू | #Goldi Yadav | Ft. #Sapna Chauhan | New Bhojpuri Song,Sur Music ,Music,2025-11-09 06:36:00,372316,10977,436,0.0306541
VIEaEZqrC40,Kumki 2 Official Trailer | Prabhu Solomon | Mathi | NivasK Prasanna| Dr Jayantilal Gada | PenStudios,Junglee Music Tamil,Music,2025-11-07 11:02:12,380979,9387,366,0.0255998
oM7ngZAY688,I FOUND THE *GHOST ID* of Free Fire 💀,SATVIK,Gaming,2025-11-09 09:00:42,724461,21906,3189,0.0346395
uOSwNpXk-zE,Siti | Kallu New Song | Lyrical | Arvind Akela Kallu | Shilpi Raj | Bhojpuri Song | Bhojpuri Gana,Saregama Hum Bhojpuri,Music,2025-11-09 07:00:59,522994,3063,127,0.0060995
5R3YF0fuZw4,The Family Man S3 Trailer & Michael Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,Entertainment,2025-11-08 16:09:53,332981,13237,468,0.0411585
pOXQdwZUMXY,Platform 8 horror game live  with Ajay Khutail❤️ #shortslive #horrorgaming,Ajay Khutail,Gaming,2025-11-09 22:58:31,970449,5040,3,0.00519656
V-1p5jsHdPU,Video | पलंगिया हिलावेवाला चाही | #Arvind Akela Kallu | #Shilpi Raj | New #Bhojpuri Song 2025,Mahadeva Official,Music,2025-11-08 15:15:05,120638,741,8,0.00620866
AFddRNWxdIY,Jana Nayagan Trailer | Vijay | Pooja Hegde | H. Vinoth,Trailer Piercer ,Film & Animation,2025-11-07 18:07:41,157148,3968,29,0.0254346
